Project ID,Use Case Quality Score,Defect Count,Project Duration (months),Client Satisfaction,Remarks
P1788,,zero,10,High,"Incomplete UC, rework happened"
P1789,,5 defects,10,Medium ,UC not reviewed
P1790,sixty,zero,N/A,LOW , Excellent documentation 
P1791,,5 defects,8 m,Medium , some missing flows
P1792,90%,12, eleven,low,
P1793,,20,8 m,low,Well defined use cases
P1794, 45%,12,9,Medium ,"Incomplete UC, rework happened"
P1795,N/A,12,,LOW ,
P1796, 45%,zero,14,Medium , Excellent documentation 
P1797,85,,12months,LOW ,poorly written
P1798,85,20,12months,High,Well defined use cases
P1799,sixty,15 ,12months,Medium ,Well defined use cases
P1800, 45%,,9,HIGH,
P1801, 45%,5 defects,9,HIGH,poorly written
P1802,sixty,zero,10,LOW ,
P1803,sixty,20,14,Medium ,UC not reviewed
P1804,sixty,eight,N/A,Medium ,good but unclear alt flows
P1805,90%,,,LOW ,good but unclear alt flows
P1806,100 ,,9,low,
P1807,N/A,20,9,LOW , Excellent documentation 
P1808, 45%,15 ,N/A,low,"Incomplete UC, rework happened"
P1809, 70,zero,14,, some missing flows
P1810,100 ,,8 m,Medium ,Well defined use cases
P1811, 45%,,,low, Excellent documentation 
P1812, 45%,5 defects,N/A,High,
P1813, 70,,N/A,low, Excellent documentation 
P1814,N/A,5 defects,N/A,High,UC not reviewed
P1815,,,14,,"Incomplete UC, rework happened"
P1816,90%,12,N/A,High,good but unclear alt flows
P1817,sixty,20,10,, some missing flows
P1818,sixty,15 ,10,LOW ,"Incomplete UC, rework happened"
P1819,100 ,,8 m,LOW ,poorly written
P1820, 70,20,8 m,low,Well defined use cases
P1821,85,,N/A,LOW , Excellent documentation 
P1822, 45%,zero,12months,LOW , Excellent documentation 
P1823,sixty,15 ,12months,,poorly written
P1824,85,12,12months,HIGH, some missing flows
P1825,100 ,20,12months,Medium ,poorly written
P1826,,, eleven,HIGH, Excellent documentation 
P1827,90%,zero, eleven,High,poorly written
P1828,85,eight,10,High, some missing flows
P1829, 45%,eight,14,LOW ,
P1830, 45%,,10,Medium ,
P1831, 70,,10,High,good but unclear alt flows
P1832, 45%,15 ,N/A,,good but unclear alt flows
P1833,sixty,zero,14,HIGH,"Incomplete UC, rework happened"
P1834,sixty,15 ,14,,poorly written
P1835,sixty,,9,, some missing flows
P1836,90%,15 ,,Medium ,poorly written
P1837,N/A,zero,10,Medium , Excellent documentation 
P1838,N/A,zero,10,Medium ,
P1839,,zero,N/A,low,good but unclear alt flows
P1840, 45%,15 ,14,low,"Incomplete UC, rework happened"
P1841,,eight,14,,UC not reviewed
P1842, 70,12,8 m,low,Well defined use cases
P1843,90%,,14,low,poorly written
P1844,sixty,zero,14,Medium ,
P1845,,20,,HIGH,poorly written
P1846,sixty,15 , eleven,High,Well defined use cases
P1847,N/A,eight,12months,High,Well defined use cases
P1848, 45%,20, eleven,low,"Incomplete UC, rework happened"
P1849,,5 defects,N/A,, Excellent documentation 
P1850, 70,12, eleven,, Excellent documentation 
P1851,90%,zero,14,Medium ,UC not reviewed
P1852,sixty,5 defects,N/A,High,Well defined use cases
P1853, 70,eight,10,High,Well defined use cases
P1854,sixty,eight,N/A,Medium , some missing flows
P1855,,15 ,N/A,High,poorly written
P1856,sixty,eight, eleven,low, Excellent documentation 
P1857,,,12months,HIGH,
P1858,,5 defects,N/A,High,Well defined use cases
P1859,,,N/A,, Excellent documentation 
P1860, 70,20,14,low,UC not reviewed
P1861,N/A,,N/A,HIGH,good but unclear alt flows
P1862,,15 ,14,High,"Incomplete UC, rework happened"
P1863,,20, eleven,Medium ,poorly written
P1864, 45%,,12months,LOW , some missing flows
P1865,N/A,,12months,low,poorly written
P1866,85,12,10,,
P1867,85,20, eleven,, some missing flows
P1868,sixty,,,low,
P1869, 70,20,12months,LOW , Excellent documentation 
P1870, 45%,,12months,low,poorly written
P1871,,12,14,low,Well defined use cases
P1872,,,N/A,LOW ,UC not reviewed
P1873, 45%,12, eleven,Medium ,good but unclear alt flows
P1874, 70,5 defects,12months,HIGH,good but unclear alt flows
P1875,90%,eight, eleven,, some missing flows
P1876,,zero,12months,LOW ,Well defined use cases
P1877,sixty,zero,9,low,"Incomplete UC, rework happened"
P1878,,15 ,8 m,HIGH,UC not reviewed
P1879,sixty,,,LOW , some missing flows
P1880, 70,,N/A,HIGH,
P1881, 70,,10,Medium ,poorly written
P1882, 70,20, eleven,,poorly written
P1883, 45%,,14,Medium ,Well defined use cases
P1884, 45%,15 ,14,low, Excellent documentation 
P1885,sixty,,8 m,low,Well defined use cases
P1886,sixty,,,,"Incomplete UC, rework happened"
P1887,85,,,HIGH, Excellent documentation 
P1888,85,,14,Medium ,UC not reviewed
P1889,,zero,10,,good but unclear alt flows
P1890,,12,8 m,, some missing flows
P1891,,,12months,Medium ,"Incomplete UC, rework happened"
P1892, 45%,15 ,10,Medium , Excellent documentation 
P1893,,15 ,N/A,High, Excellent documentation 
P1894,100 ,,14,low, some missing flows
P1895,,,10,HIGH,Well defined use cases
P1896,N/A,,10,,"Incomplete UC, rework happened"
P1897,90%,15 , eleven,Medium , some missing flows
P1898, 45%,,9,low,Well defined use cases
P1899,sixty,12,12months,LOW , some missing flows
P1900,sixty,,,low,poorly written
P1901,,20, eleven,High,good but unclear alt flows
P1902,N/A,zero,10,Medium ,Well defined use cases
P1903,sixty,15 ,14,LOW ,good but unclear alt flows
P1904,85,12,14,Medium , Excellent documentation 
P1905, 45%,15 ,9,HIGH,poorly written
P1906,,eight,12months,Medium ,UC not reviewed
P1907,85,5 defects, eleven,low, Excellent documentation 
P1908,,,10,LOW ,poorly written
P1909,,15 , eleven,LOW ,UC not reviewed
P1910,N/A,12,10,HIGH,good but unclear alt flows
P1911,100 ,20,N/A,, some missing flows
P1912,90%,5 defects,9,low,Well defined use cases
P1913,,12,9,LOW ,
P1914,,20,,, some missing flows
P1915,90%,12,8 m,HIGH,UC not reviewed
P1916,N/A,12,14,, some missing flows
P1917,,15 ,9,,Well defined use cases
P1918, 70,12,10,HIGH,good but unclear alt flows
P1919, 45%,20, eleven,Medium ,Well defined use cases
P1920,,zero,10,HIGH,UC not reviewed
P1921,,15 ,10,,
P1922,100 ,eight,10,High,
P1923,100 ,20, eleven,low,UC not reviewed
P1924,85,,12months,High,poorly written
P1925,85,12,,,UC not reviewed
P1926, 70,zero,10,LOW ,
P1927,N/A,20,12months,LOW , some missing flows
P1928, 70,12,12months,Medium ,good but unclear alt flows
P1929,,,,,poorly written
P1930, 45%,,9,High, Excellent documentation 
P1931,,zero,8 m,High, some missing flows
P1932,,,12months,Medium ,Well defined use cases
P1933, 70,,10,High, Excellent documentation 
P1934, 70,12,12months,High,poorly written
P1935, 70,12,12months,High, Excellent documentation 
P1936,,15 ,14,HIGH, Excellent documentation 
P1937,85,20,10,low, some missing flows
P1938,sixty,,,low, Excellent documentation 
P1939,sixty,zero,9,HIGH, Excellent documentation 
P1940,,zero,12months,LOW ,"Incomplete UC, rework happened"
P1941,,15 ,14,HIGH,UC not reviewed
P1942, 70,5 defects, eleven,High,poorly written
P1943,sixty,20, eleven,High,UC not reviewed
P1944,90%,20,9,,"Incomplete UC, rework happened"
P1945,,5 defects,14,High,UC not reviewed
P1946,,20,14,High,Well defined use cases
P1947,90%,15 ,10,low,poorly written
P1948, 45%,15 ,N/A,Medium , some missing flows
P1949,90%,15 ,10,LOW ,good but unclear alt flows
P1950,N/A,15 , eleven,High,poorly written
P1951, 45%,,12months,low,UC not reviewed
P1952,100 ,,10,,UC not reviewed
P1953,85,5 defects,9,low,poorly written
P1954, 45%,,10,low,good but unclear alt flows
P1955,90%,12,N/A,,
P1956,sixty,,,low,Well defined use cases
P1957,100 ,15 ,12months,, some missing flows
P1958, 45%,12,14,,poorly written
P1959,100 ,5 defects,14,HIGH,poorly written
P1960,,,9,, Excellent documentation 
P1961, 45%,,9,HIGH,"Incomplete UC, rework happened"
P1962,100 ,20,8 m,low,UC not reviewed
P1963,,5 defects,9,HIGH, Excellent documentation 
P1964, 70,zero,10,,
P1965,N/A,15 ,,HIGH,"Incomplete UC, rework happened"
P1966,85,5 defects,N/A,,
P1967,N/A,15 ,N/A,High,Well defined use cases
P1968,85,zero,,,good but unclear alt flows
P1969, 45%,,14,,Well defined use cases
P1970,90%,zero,,low, Excellent documentation 
P1971,85,,10,Medium , some missing flows
P1972,90%,eight,8 m,High,good but unclear alt flows
P1973, 70,eight,8 m,,UC not reviewed
P1974, 70,,,HIGH,good but unclear alt flows
P1975,,,14,,UC not reviewed
P1976,85,15 ,10,LOW ,UC not reviewed
P1977,85,eight,9,LOW ,"Incomplete UC, rework happened"
P1978,,zero,,LOW ,
P1979,,,N/A,,Well defined use cases
P1980, 45%,zero,N/A,HIGH, some missing flows
P1981,,,,High,poorly written
P1982,sixty,20,8 m,LOW ,UC not reviewed
P1983, 45%,15 ,N/A,, Excellent documentation 
P1984,sixty,eight,,,Well defined use cases
P1985,N/A,,14,LOW ,good but unclear alt flows
P1986, 70,5 defects,12months,Medium ,good but unclear alt flows
P1987,85,5 defects,8 m,Medium ,poorly written
P1988,N/A,20,10,HIGH,Well defined use cases
P1989, 45%,eight,9,low,UC not reviewed
P1990,100 ,,,Medium , some missing flows
P1991,N/A,5 defects,9,HIGH,"Incomplete UC, rework happened"
P1992,,zero,8 m,Medium ,"Incomplete UC, rework happened"
P1993,,,9,, Excellent documentation 
P1994,sixty,,10,low,Well defined use cases
P1995,90%,5 defects,,HIGH,good but unclear alt flows
P1996, 45%,15 ,12months,low, some missing flows
P1997,N/A,15 , eleven,High, Excellent documentation 
P1998,90%,eight,10,High,poorly written
P1999,90%,20,N/A,low,good but unclear alt flows
P2000, 70,5 defects,,low,good but unclear alt flows
